drugbank_id,id
DB11791,1821
DB12167,1823
DB05514,1824
DB13094,1826
DB12512,1827
DB12295,1832
DB12858,1833
DB11934,1834
DB11978,1835
DB06190,1836
DB12702,1837
DB06350,1839
DB05542,1840
DB12299,1841
DB12229,1842
DB12641,1843
DB12427,1846
DB16325,1848
DB14895,1850
DB11758,1852
DB12550,1853
DB12457,1855
DB12135,1856
DB15328,1859
DB18518,1860
DB12526,1861
DB11732,1862
DB12100,1863
DB11922,1864
DB13004,1865
DB15120,1866
DB12013,1867
DB11923,1868
DB12462,1869
DB11833,1870
DB04954,1871
DB12543,1873
DB11818,1874
DB06625,1875
DB12973,1876
DB11910,1877
DB12567,1878
DB12910,1879
DB16844,1883
DB15011,1884
DB16066,1885
DB15065,1892
DB12580,1901
DB16125,1904
DB05255,1906
DB14822,1907
DB11903,1909
DB11946,1911
DB13122,1918
DB12885,1919
DB12424,1921
DB04869,1922
DB12011,1923
DB11658,1924
DB11900,1925
DB11951,1926
DB12548,1929
DB12522,1930
DB12016,1932
DB11853,1934
DB12355,1938
DB05048,1941
DB12443,1944
DB12691,1947
DB16943,1950
DB12644,1951
DB12555,1953
DB12733,1954
DB12889,1957
DB18810,1959
DB19033,1961
DB18793,1962
DB12643,1963
DB16118,1965
DB13070,1966
DB12046,1967
DB16315,1969
DB12361,1972
DB17083,1973
DB15784,1975
DB06494,1976
DB06538,1977
DB12292,1982
DB05038,1983
DB06460,1988
DB06248,1989
DB12850,1990
DB12436,1991
DB13929,1993
DB11700,2000
DB12495,2002
DB11720,2003
DB06549,2005
DB05625,2009
DB11920,2012
DB12154,2013
DB12141,2016
DB11883,2018
DB13994,2024
DB16205,2027
DB12145,2029
DB12063,2031
DB05956,2032
DB12594,2037
DB15097,2038
DB12113,2039
DB06090,2040
DB18795,2041
DB14856,2043
DB11706,2044
DB11867,2049
DB05458,2053
DB12527,2055
DB12260,2060
DB11712,2063
DB12743,2066
DB11629,2067
DB12272,2068
DB12960,2069
DB11692,2070
DB16845,2072
DB16250,2073
DB12411,2075
DB05824,2078
DB12714,2084
DB15012,2086
DB12032,2089
DB06579,2091
DB15641,2101
DB16080,2102
DB12941,2103
DB11901,2105
DB05990,2107
DB12041,2108
DB06680,2109
DB12511,2111
