chembl_id,id
CHEMBL19019,795
CHEMBL1201099,796
CHEMBL4297091,797
CHEMBL1201149,798
CHEMBL1201132,799
CHEMBL1718,800
CHEMBL3989677,801
CHEMBL1742994,802
CHEMBL428647,803
CHEMBL3545252,804
CHEMBL1683544,805
CHEMBL1201748,806
CHEMBL107,807
CHEMBL1201752,808
CHEMBL501867,809
CHEMBL538943,810
CHEMBL378544,811
CHEMBL1201607,812
CHEMBL1201556,813
CHEMBL2105708,814
CHEMBL723,815
CHEMBL1201167,816
CHEMBL3989521,817
CHEMBL1201002,818
CHEMBL1711,819
CHEMBL2068724,820
CHEMBL1569,821
CHEMBL1699,822
CHEMBL1094,823
CHEMBL1714,824
CHEMBL1200759,825
CHEMBL1218,826
CHEMBL2062257,827
CHEMBL2106195,828
CHEMBL1200329,829
CHEMBL1705,830
CHEMBL1200432,831
CHEMBL1200494,832
CHEMBL134,833
CHEMBL1200379,834
CHEMBL459,835
CHEMBL1200560,836
CHEMBL677,837
CHEMBL1275,838
CHEMBL3833353,839
CHEMBL2062264,840
CHEMBL1723,841
CHEMBL1200561,842
CHEMBL1201103,843
CHEMBL2062262,844
CHEMBL1200461,845
CHEMBL1200339,846
CHEMBL1558,847
CHEMBL1200914,848
CHEMBL3989562,849
CHEMBL3989408,850
CHEMBL112,851
CHEMBL154,852
CHEMBL1200806,853
CHEMBL1201180,854
CHEMBL1034,855
CHEMBL2103736,856
CHEMBL898,857
CHEMBL521,850
CHEMBL1120,858
CHEMBL1021,859
CHEMBL3989676,860
CHEMBL3989754,861
CHEMBL25,862
CHEMBL1200613,863
CHEMBL1200804,864
CHEMBL6,865
CHEMBL3181947,866
CHEMBL563,867
CHEMBL1201124,868
CHEMBL15770,869
CHEMBL3989410,870
CHEMBL1200463,871
CHEMBL686,872
CHEMBL1201141,873
CHEMBL1071,874
CHEMBL101,875
CHEMBL527,876
CHEMBL956,877
CHEMBL571,878
CHEMBL44657,879
CHEMBL452231,880
CHEMBL628,881
CHEMBL1200569,882
CHEMBL113,883
CHEMBL477,884
CHEMBL730,885
CHEMBL1200689,886
CHEMBL136478,887
CHEMBL1311,888
CHEMBL6622,889
CHEMBL1456,890
CHEMBL866,891
CHEMBL1200955,892
CHEMBL727,893
CHEMBL1200480,894
CHEMBL802,895
CHEMBL1200338,896
CHEMBL1201454,897
CHEMBL1706,898
CHEMBL1200413,899
CHEMBL1200873,900
CHEMBL1200791,901
CHEMBL3559672,902
CHEMBL1200787,903
CHEMBL1200895,904
CHEMBL1200425,905
CHEMBL1201168,906
CHEMBL3989698,907
CHEMBL1481,908
CHEMBL472,909
CHEMBL498,910
CHEMBL1200874,911
CHEMBL1073,912
CHEMBL1589,913
CHEMBL817,914
CHEMBL1272,915
CHEMBL783,916
CHEMBL782,917
CHEMBL585,918
CHEMBL1398126,919
CHEMBL1201550,920
CHEMBL467,921
CHEMBL1750,922
CHEMBL1637,923
CHEMBL1096882,924
CHEMBL1200983,925
CHEMBL1289926,926
CHEMBL1237132,927
CHEMBL1648,928
CHEMBL1697,929
CHEMBL1201729,930
CHEMBL1200984,931
CHEMBL1280,932
CHEMBL193,933
CHEMBL1200805,934
CHEMBL1200402,935
CHEMBL1200326,936
CHEMBL1726,937
CHEMBL215645,938
CHEMBL636,939
CHEMBL1677,940
CHEMBL1201834,941
CHEMBL1201830,942
CHEMBL1237082,943
CHEMBL1318287,944
CHEMBL1245,945
CHEMBL2107333,946
CHEMBL3545058,947
CHEMBL1201119,948
CHEMBL559,947
CHEMBL1544,949
CHEMBL2103741,950
CHEMBL1200682,951
